index,class,subclass,prov/terr,municipality,file_name,provider,source_url,licence,format,source_id,street_name,source_class,surface_type,width,geometry,geom_type,inscope_filter,inscope_value,bike_column,bike_value,walk_column,walk_value,multi_column,multi_value
5,walking,,on,Brampton,Sidewalks,City of Brampton,https://opendata.arcgis.com/api/v3/datasets/c12841a99a754aa8aa7080c1521cf0a2_0/downloads/data?format=shp&spatialRefId=3857 ,https://creativecommons.org/licenses/by/4.0/ ,shp,OBJECTID,,DESCR,,,geometry,linestring,,,,,,,,
6,walking,,on,Brantford,62a431d1-261f-4865-8695-dee8a95c53312020329-1-1an0ts.zuwtd,City of Brantford,https://opendata.arcgis.com/api/v3/datasets/97107fc9971d47cc8959adcb2fe31129_0/downloads/data?format=shp&spatialRefId=2958 ,http://data-brantford.opendata.arcgis.com/ ,shp,OBJECTID,Location,Typ,,,geometry,linestring,,,,,,,,
7,multi-use,,on,Burlington,Cycling_Network,City of Burlington,https://opendata.arcgis.com/api/v3/datasets/28c2c17222c54820a4284a7a70b7c61b_0/downloads/data?format=shp&spatialRefId=26917  ,https://www.burlington.ca/en/services-for-you/resources/Ongoing_Projects/Open_Data/OpenDataBurlingtonTermsOfUseSeptember192011.pdf ,shp,OBJECTID,STREET_NAM,FACILITY,,,geometry,linestring,,,FACILITY,BL__BL-SHARED__PS__SHARED,,,FACILITY,MUPADJ__MUPOFF
8,walking,,on,Burlington,Pedestrian_Network,City of Burlington,https://opendata.arcgis.com/api/v3/datasets/cf47586aa5774fe5a5eb71aea3eb1de6_0/downloads/data?format=shp&spatialRefId=26917 ,https://www.burlington.ca/en/services-for-you/resources/Ongoing_Projects/Open_Data/OpenDataBurlingtonTermsOfUseSeptember192011.pdf ,shp,OBJECTID,STREET_NAM,,PN_TYPE,SDWK_WIDTH,geometry,linestring,,,,,,,,
9,multi-use,bikeways,on,Cambridge,Bikeway_Network,City of Cambridge,https://opendata.arcgis.com/api/v3/datasets/423bf24abf76441cad8a1f4b8b982ede_2/downloads/data?format=shp&spatialRefId=26917 ,https://www.cambridge.ca/en/your-city/resources/Open-Data-Licence-Version-2.pdf ,shp,OBJECTID,STREET_NAM,TYPE,SURFACE_MA,,geometry,linestring,STATUS,IN SERVICE,TYPE,BIKE LANE__PAVED SHOULDER__WIDE SHARED LANE__SIGNED ROUTE,,,TYPE,PARK__MULTI-USE TRAIL__MULTI-USE SECONDARY__MULTI-USE PRIMARY__ACCESS
10,multi-use,trails,on,Cambridge,Trails,City of Cambridge,https://opendata.arcgis.com/api/v3/datasets/4c49dbf8baee48f1a8dba63a21bb416a_3/downloads/data?format=shp&spatialRefId=26917 ,https://www.cambridge.ca/en/your-city/resources/Open-Data-Licence-Version-2.pdf ,shp,OBJECTID,STREET_NAM,TRAIL_TYPE,SURFACE_MA,WIDTH,geometry,linestring,,,BIKE_ROUTE,YES,,,BIKE_ROUTE,NO
11,multi-use,pedestrian,on,Cambridge,Pedestrian_Network,City of Cambridge,https://opendata.arcgis.com/api/v3/datasets/4c49dbf8baee48f1a8dba63a21bb416a_3/downloads/data?format=shp&spatialRefId=26917 ,https://www.cambridge.ca/en/your-city/resources/Open-Data-Licence-Version-2.pdf ,shp,OBJECTID,,ASSET_TYPE,SURFACE_MA,WIDTH,geometry,linestring,,,,,ASSET_TYPE,SIDE_WALK__WALKWAY,ASSET_TYPE,TRAIL
12,multi-use,,on,Cornwall,Recreational_Path,City of Cornwall,https://opendata.arcgis.com/api/v3/datasets/deff651b312946028aa0cef30e1f5931_0/downloads/data?format=shp&spatialRefId=26918 ,https://www.cornwall.ca/en/play-here/resources/Maps/City-of-Cornwall-Open-Government-Licence.pdf ,shp,FID,,,,,geometry,linestring,,,ON_ROAD,Y,,,ON_ROAD,N
13,walking,,on,Cornwall,Streets__26_Paved_Surfaces,City of Cornwall,https://opendata.arcgis.com/api/v3/datasets/69bd391438854a2db0cedda6ac5b8408_45/downloads/data?format=shp&spatialRefId=26918 ,https://www.cornwall.ca/en/play-here/resources/Maps/City-of-Cornwall-Open-Government-Licence.pdf ,shp,FID,,Type,,,geometry,polygon,Type,Sidewalk,,,,,,
14,multi-use,,on,Greater Sudbury,d8444b29-7906-412b-8d48-c6d2ebdf3f8d2020329-1-16dao5q.nnfs,City of Greater Sudbury,https://opendata.arcgis.com/api/v3/datasets/adcc3371d39344a0a75cd33b3ceeb75e_1/downloads/data?format=shp&spatialRefId=26917 ,https://www.greatersudbury.ca/city-hall/open-government/open-data/licence/ ,shp,OBJECTID,Name_EN,Category_E,,,geometry,linestring,,,Category_E,Bike Lane__Cycle Track__Edgeline__Paved Shoulder,,,Category_E,Trail__Multiuse Path
15,biking,,on,Guelph,OnRoadCyclingNetwork,City of Guelph,http://data.open.guelph.ca/datafiles/gis/OnRoadCyclingNetwork.geojson ,http://data.open.guelph.ca/pages/open-government-licence ,geojson,OBJECTID,STREET,,,,geometry,linestring,,,,,,,,
16,walking,,on,Guelph,Sidewalks,City of Guelph,http://data.open.guelph.ca/datafiles/gis/Sidewalks.zip ,http://data.open.guelph.ca/pages/open-government-licence ,shp,OBJECTID_1,,,,,geometry,linestring,,,,,,,,
17,biking,,on,Hamilton,Bikeways,City of Hamilton,https://opendata.arcgis.com/api/v3/datasets/544170b5b1be435592b1aea014265c7d_7/downloads/data?format=shp&spatialRefId=26917 ,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions ,shp,OBJECTID,NAME,TYPE,,,geometry,linestring,,,,,,,,
18,walking,sidewalks,on,Hamilton,Road_Sidewalk,City of Hamilton,https://opendata.arcgis.com/api/v3/datasets/28d8bca8e8cb48868c15a213276ba5a9_2/downloads/data?format=shp&spatialRefId=26917 ,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions ,shp,OBJECTID,,,,,geometry,linestring,,,,,,,,
19,walking,pedestrian,on,Hamilton,Pedestrian_Features,City of Hamilton,https://opendata.arcgis.com/api/v3/datasets/be3df05bdf7240dca272422abe002695_5/downloads/data?format=shp&spatialRefId=26917 ,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions ,shp,OBJECTID,ST_NAME,CATEGORY,,,geometry,linestring,,,,,,,,
20,multi-use,,on,Kawartha Lakes,Trails,City of Kawartha Lakes,https://opendata.arcgis.com/api/v3/datasets/9544bcaaa5dc44cfa75b5222878d0c04_0/downloads/data?format=shp&spatialRefId=4326 ,https://ago-item-storage.s3.us-east-1.amazonaws.com/8166769837ab488785217db71b5c39b9/Disclaimer_and_Terms_of_Service.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEJH%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIQCzGDFbmWfiJKQgxVWT4uCdk7%2B9DMLvx8xFJTFm2sGDKgIgG9GqaceCPcFKuPLTM3fiHd6DGd%2FGrShOt9BXrpuAeL4q%2BgMIGRAAGgw2MDQ3NTgxMDI2NjUiDHwQHzUi2zUWjT9yQirXA3DuLc4GZJ5uu2J%2FzsixyvD5g3AxNp%2FUO7HPv5FxsUgj%2BdIZ8hPlhj2S4xIZ6NxMHtnc08eSTwvli2Rokh3CfI52jSmj6F21cjUbtuyfQmOZPdEGG9ybgLKsAhWekt6W%2B8ICp6gs%2FYxQpWyaK3PE3xIMmkcd8ytrWO3Fh7tcBHB0SQeLmQuEOHz4scE8%2BTcEeupesQRIsEBeXnto6%2BBrIdIbVLfIneyISVArpyjUtMNdhzFzW0tOzCu2qzkjw5P5ki386SZKmzgmp5xzdxg%2BLkxAJ4JHgYvpI9MyyLUj3ZgB03VrKBuUbAqjZSKj7XVeVO6s6i8LYW9JjrGPafGMtk8rMNGtfVVb69F3J%2F3RuN7%2F8S6Y644uzm2fp%2F81Tz5AhW1PkCkHao%2BK70DV2lG4r3NBkrxYWw6ZnBn7WO349SvD8xmpjS%2FiFbowuwQoWYl49HXAIac0EqwJb%2BTl8bjBo3cQhOlXJ%2B1HId1743dWyfymo5G1Kevl4SaRtFecn5eso%2B%2F1IpAKP%2FS9lCpdOA1WrJYyJYMuGNxbtBejoaA2B45ROosJpQ83I6kXdPv13ugpnIFutxqvEuvZdl87pwS67POJ5b571OU1DxbXgc2wqBLcoJ2cBDPd2jDc6paLBjqlAaTbH5rjD6UySDJ6C0riViES7bf%2BOlNvs727sSXui%2B5VqQyEYTQtLJCUIGlOXUt%2Bk8f%2BO2HAmgGIDzXv9nwSXSo%2BuOcNnzhAixdBXm%2BW9XbfoH%2BfDH5PqM9DuImCZ0zApTeNFs6wr5wKQIf31g%2B2LTq2SeYL%2Bps%2BJazqQf5MNWZWun3aZO1%2BlJANFQdzzTGY6Zro7oEp3SD80ZCRTdJ1T5iiXjDkAA%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20211012T171059Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKEQKTLNPXZ%2F20211012%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=9b35ea009c760b52bd295280c972fd06b76779a4d09865f287d89aa83fd79c43 ,shp,OBJECTID,Name,,,,geometry,linestring,,,,,,,,
21,walking,,on,Kawartha Lakes,Sidewalks,City of Kawartha Lakes,https://opendata.arcgis.com/api/v3/datasets/7952ecd0e1c743408aad6588c45ab998_0/downloads/data?format=shp&spatialRefId=4326 ,https://ago-item-storage.s3.us-east-1.amazonaws.com/8166769837ab488785217db71b5c39b9/Disclaimer_and_Terms_of_Service.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEJH%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIQCzGDFbmWfiJKQgxVWT4uCdk7%2B9DMLvx8xFJTFm2sGDKgIgG9GqaceCPcFKuPLTM3fiHd6DGd%2FGrShOt9BXrpuAeL4q%2BgMIGRAAGgw2MDQ3NTgxMDI2NjUiDHwQHzUi2zUWjT9yQirXA3DuLc4GZJ5uu2J%2FzsixyvD5g3AxNp%2FUO7HPv5FxsUgj%2BdIZ8hPlhj2S4xIZ6NxMHtnc08eSTwvli2Rokh3CfI52jSmj6F21cjUbtuyfQmOZPdEGG9ybgLKsAhWekt6W%2B8ICp6gs%2FYxQpWyaK3PE3xIMmkcd8ytrWO3Fh7tcBHB0SQeLmQuEOHz4scE8%2BTcEeupesQRIsEBeXnto6%2BBrIdIbVLfIneyISVArpyjUtMNdhzFzW0tOzCu2qzkjw5P5ki386SZKmzgmp5xzdxg%2BLkxAJ4JHgYvpI9MyyLUj3ZgB03VrKBuUbAqjZSKj7XVeVO6s6i8LYW9JjrGPafGMtk8rMNGtfVVb69F3J%2F3RuN7%2F8S6Y644uzm2fp%2F81Tz5AhW1PkCkHao%2BK70DV2lG4r3NBkrxYWw6ZnBn7WO349SvD8xmpjS%2FiFbowuwQoWYl49HXAIac0EqwJb%2BTl8bjBo3cQhOlXJ%2B1HId1743dWyfymo5G1Kevl4SaRtFecn5eso%2B%2F1IpAKP%2FS9lCpdOA1WrJYyJYMuGNxbtBejoaA2B45ROosJpQ83I6kXdPv13ugpnIFutxqvEuvZdl87pwS67POJ5b571OU1DxbXgc2wqBLcoJ2cBDPd2jDc6paLBjqlAaTbH5rjD6UySDJ6C0riViES7bf%2BOlNvs727sSXui%2B5VqQyEYTQtLJCUIGlOXUt%2Bk8f%2BO2HAmgGIDzXv9nwSXSo%2BuOcNnzhAixdBXm%2BW9XbfoH%2BfDH5PqM9DuImCZ0zApTeNFs6wr5wKQIf31g%2B2LTq2SeYL%2Bps%2BJazqQf5MNWZWun3aZO1%2BlJANFQdzzTGY6Zro7oEp3SD80ZCRTdJ1T5iiXjDkAA%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20211012T171059Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKEQKTLNPXZ%2F20211012%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=9b35ea009c760b52bd295280c972fd06b76779a4d09865f287d89aa83fd79c43 ,shp,OBJECTID,,,,,geometry,linestring,,,,,,,,
22,biking,,on,Kingston,cycling-facilities,City of Kingston,https://opendatakingston.cityofkingston.ca/explore/dataset/cycling-facilities/download/?format=shp&timezone=America/New_York&lang=en ,https://www.cityofkingston.ca/documents/10180/144997/CityofKingston_OpenDataLicense.pdf ,shp,,,cycle_statu,,,geometry,linestring,,,,,,,,
23,multi-use,trails,on,Kingston,trails,City of Kingston,https://opendatakingston.cityofkingston.ca/explore/dataset/trails/download/?format=shp&timezone=America/New_York&lang=en ,https://www.cityofkingston.ca/documents/10180/144997/CityofKingston_OpenDataLicense.pdf ,shp,,trailname,activities,,,geometry,linestring,,,activities,Contains BICYCLING,activities,Contains WALKING,,
24,multi-use,paths,on,Kingston,paths,City of Kingston,https://opendatakingston.cityofkingston.ca/explore/dataset/paths/download/?format=shp&timezone=America/New_York&lang=en ,https://www.cityofkingston.ca/documents/10180/144997/CityofKingston_OpenDataLicense.pdf ,shp,,description,,material,,geometry,polygon,,,,,,,,
25,walking,,on,Kingston,sidewalk-surface,City of Kingston,https://opendatakingston.cityofkingston.ca/explore/dataset/sidewalk-surface/download/?format=shp&timezone=America/New_York&lang=en ,https://www.cityofkingston.ca/documents/10180/144997/CityofKingston_OpenDataLicense.pdf ,shp,,,,material,,geometry,polygon,,,,,,,,
26,multi-use,,on,Kitchener,Active_Transportation,City of Kitchener,https://open-kitchenergis.opendata.arcgis.com/datasets/walkability/explore?location=43.429372%2C-80.477727%2C13.00 ,https://www.kitchener.ca/en/council-and-city-administration/open-data-licence.aspx ,shp,OBJECTID,STREET,SUBCATEGOR,SURFACE_MA,WIDTH_M,geometry,linestring,,,,,CATEGORY,SIDEWALKS AND WALKWAYS,CATEGORY,PATHWAYS__NETWORK LINKS
27,biking,,on,London,Bike_Routes_-_On_Street,City of London,https://opendata.arcgis.com/api/v3/datasets/b9ccfd746f2640b78cc18d2b78ef586a_20/downloads/data?format=shp&spatialRefId=26917 ,https://london.maps.arcgis.com/sharing/rest/content/items/e31458fd0c7e41dd9f93144a9550781d/data ,shp,OBJECTID,,OSBR_Route,,,geometry,linestring,OSBR_Statu,Existing,,,,,,
28,multi-use,,on,London,Bicycle_routes_and_Walking_Trails,City of London,https://opendata.london.ca/datasets/a1c044cbeb5c4030909764177cd35a26_2/explore?location=42.960950%2C-81.258350%2C12.74 ,https://london.maps.arcgis.com/sharing/rest/content/items/e31458fd0c7e41dd9f93144a9550781d/data ,shp,OBJECTID,,PathType,,,geometry,linestring,,,,,PathType,Walking Trails,PathType,Multi Use Path
29,walking,sidewalks,on,London,Sidewalks,City of London,https://opendata.arcgis.com/api/v3/datasets/6dc013901d03481c822f1e0d0af4e7fa_4/downloads/data?format=shp&spatialRefId=26917 ,https://london.maps.arcgis.com/sharing/rest/content/items/e31458fd0c7e41dd9f93144a9550781d/data ,shp,OBJECTID,,,Material,Width,geometry,linestring,,,,,,,,
30,walking,walkways,on,London,Walkways,City of London,https://opendata.arcgis.com/api/v3/datasets/687a84ceb6f0415d9188a5992afa5234_6/downloads/data?format=shp&spatialRefId=26917 ,https://london.maps.arcgis.com/sharing/rest/content/items/e31458fd0c7e41dd9f93144a9550781d/data ,shp,OBJECTID,,,,,geometry,linestring,,,,,,,,
31,multi-use,cycle_routes,on,Markham,Bicycle_Routes,City of Markham,https://data-markham.opendata.arcgis.com/datasets/bicycle-routes/explore ,https://data-markham.opendata.arcgis.com/pages/terms-of-use ,shp,OBJECTID,,TYPE,,,geometry,linestring,,,TYPE,Bike Lane__Cycle Track__Paved Shoulder__Shared Roadway__Shared Roadway with Urban Shoulder,,,TYPE,Multi Use
32,multi-use,trails,on,Markham,Trails,City of Markham,https://data-markham.opendata.arcgis.com/datasets/trails/explore?location=43.855679%2C-79.307250%2C12.98 ,https://data-markham.opendata.arcgis.com/pages/terms-of-use ,shp,OBJECTID,TRAIL_NAME,,MATERIAL,,geometry,linestring,,,,,,,,
33,walking,,on,Milton,Sidewalks,Town of Milton,https://discover-milton.hub.arcgis.com/datasets/sidewalks-1/explore?location=74.145547%2C-15.231819%2C0.00,https://discover-milton.hub.arcgis.com/pages/disclaimer-and-terms-of-use,shp,OBJECTID,,CATEGORY,MATERIAL,,geometry,linestring,,,,,,,,
34,multi-use,,on,Milton,Trails,Town of Milton,https://discover-milton.hub.arcgis.com/datasets/trails/explore?location=-0.000000%2C0.000000%2C0.00,https://discover-milton.hub.arcgis.com/pages/disclaimer-and-terms-of-use,shp,OBJECTID,,CATEGORY,MATERIAL,,geometry,linestring,,,,,CATEGORY,PEDESTRIAN BRIDGE__PEDESTRIAN BRIDGE RAMP__PEDESTRIAN BRIDGE STAIRS,CATEGORY,MULTI-USE TRAIL__REGIONAL MULTI-USE TRAIL__SWMP TRAIL__SWMP TRAIL INDUSTRIAL__TRAIL__UNMANAGED TRAIL
35,multi-use,,on,Mississauga,2021_City_of_Mississauga_-_Cycling_Network,City of Mississauga,https://data.mississauga.ca/datasets/2021-city-of-mississauga-cycling-network/explore?location=43.585820%2C-79.658673%2C17.50,https://smartcity.mississauga.ca/wp-content/uploads/2021/04/CityofMississauga_TermsofUse.pdf,shp,FID_1,,Exist_Type,Surface,,geometry,linestring,Status,Existing__Existing-Upgrade,Exist_Type,Bike Lane - Buffered__ Bike Lane - Single Line__Cycle Track__Paved Shoulder__Shared Route - Sharrows__Shared Route - Signed,Exist_Type,Walkway,Exist_Type,Multi-Use Trail__Off-Road Trail
36,multi-use,trails,on,Newmarket,TRAILS,Town of Newmarket,http://open.newmarket.ca/opendata/navigo/show?id=27b906fe7109f796&disp=default,https://www.newmarket.ca/TownGovernment/Pages/Open%20Data/Open-Data-User-Licence.aspx,shp,OBJECTID,,CLASS,SURFACE,,geometry,linestring,STATUS,Existing,,,,,CLASS,MULTI-USE PATH
37,multi-use,trailsbike,on,Newmarket,TRAILS_CYCLING,Town of Newmarket,http://open.newmarket.ca/opendata/navigo/show?id=e18007779caa5135&disp=default,https://www.newmarket.ca/TownGovernment/Pages/Open%20Data/Open-Data-User-Licence.aspx,shp,OBJECTID,,CLASS,SURFACE,,geometry,linestring,STATUS,Existing,CLASS,ADVISORY BIKE LANE__BUFFERED BIKE LANE__CONVENTIONAL BIKE LANE__SHARROWS__STREET,,,CLASS,IN-BOULEVARD MULTI USE PATH__MULTI-USE PATH
38,multi-use,,on,Niagara Falls,community-public-trails_processed,City of Niagara Falls,https://niagarafalls.ca/services/open/data/586-community-public-trails.od,https://niagarafalls.ca/services/open/terms-and-conditions.aspx,shp,OBJECTID,Address,TYPE,SURFACE,,geometry,linestring,STATUS,Existing,,,,,TYPE,Multi-Use
39,biking,,on,Niagara Falls,community-bike-lanes_processed,City of Niagara Falls,https://niagarafalls.ca/services/open/data/790-community-bike-lanes.od,https://niagarafalls.ca/services/open/terms-and-conditions.aspx,shp,OBJECTID,STREET_NAM,LANE_TYPE,,,geometry,linestring,,,,,,,,
40,multi-use,,on,Norfolk County,Trails,Norfolk County,https://opendata.norfolkcounty.ca/datasets/trails/explore?location=42.587416%2C-80.969744%2C9.37,https://data-norfolk.opendata.arcgis.com/pages/terms-of-use,shp,FID_1,,USES_ALLOW,SURFACE,,geometry,linestring,STATUS,Maintained__Seasonal__Restricted__Unmaintained,USES_ALLOW,Contains Biking__Contains Cycling,USES_ALLOW,Contains Walking__Contains Running,,
41,walking,,on,Oakville,Sidewalks,Town of Oakville,https://portal-exploreoakville.opendata.arcgis.com/datasets/sidewalks-1/explore?location=43.441359%2C-79.709683%2C15.95,https://www.oakville.ca/data/open_data_licence.html,shp,OBJECTID,,ASSET_TYPE,SURFACE_TY,,geometry,linestring,,,,,,,,
42,multi-use,,on,Oakville,Trails,Town of Oakville,https://portal-exploreoakville.opendata.arcgis.com/datasets/trails-2/explore?location=43.447150%2C-79.710600%2C12.99,https://www.oakville.ca/data/open_data_licence.html,shp,OBJECTID,,ASSET_TYPE,SURFACE_TY,,geometry,linestring,,,,,ASSET_TYPE,Crosstown or Corridor__Park Walkway__Path__Road Crossing__Walkway/Accessway,ASSET_TYPE,Multi-use
43,biking,,on,Oakville,Cycling_Routes,Town of Oakville,https://portal-exploreoakville.opendata.arcgis.com/datasets/cycling-routes-1/explore?location=43.447400%2C-79.719500%2C12.99,https://www.oakville.ca/data/open_data_licence.html,shp,OBJECTID,,,SURFACE_TY,,geometry,linestring,STATUS1,Existing,,,,,,
44,biking,,on,Orangeville,Line_layer,Town of Orangeville,https://data-orangeville.opendata.arcgis.com/datasets/bike-routes/explore?location=43.916447%2C-80.093000%2C12.86,https://data.orangeville.ca/opendata.html#licence,shp,FID_1,,,,,geometry,linestring,,,,,,,,
45,walking,,on,Orangeville,Sidewalks,Town of Orangeville,https://data-orangeville.opendata.arcgis.com/datasets/sidewalks/explore?location=43.912348%2C-80.104550%2C14.71,https://data.orangeville.ca/opendata.html#licence,shp,OBJECTID,,,SURFTYPE,WIDTH,geometry,linestring,,,,,,,,
46,walking,,on,Ottawa,Sidewalks,City of Ottawa,https://open.ottawa.ca/datasets/sidewalks/explore?location=45.417762%2C-75.688897%2C10.76,https://ottawa.ca/en/city-hall/open-transparent-and-accountable-government/open-data#open-data-licence-version-2-0,shp,OBJECTID,,,,,geometry,polygon,,,,,,,,
47,multi-use,,on,Ottawa,Cycling_Network,City of Ottawa,https://open.ottawa.ca/datasets/cycling-network/explore?location=45.236448%2C-75.801676%2C0.90,https://ottawa.ca/en/city-hall/open-transparent-and-accountable-government/open-data#open-data-licence-version-2-0,shp,OBJECTID,,EXISTING_C,,,geometry,linestring,EXISTING_C,Bike Lane__Crossride__Cycle Track__Mountain Bike Trail__Path__Paved Shoulder__Segregated Bike Lane,EXISTING_C,Bike Lane__Crossride__Cycle Track__Mountain Bike Trail__Paved Shoulder__Segregated Bike Lane,,,EXISTING_C,Path
48,biking,,on,Peterborough,Ba_BikewayNetwork,City of Peterborough,https://data-ptbo.opendata.arcgis.com/datasets/official-plan-schedule-ba-bikeway-network-1/explore?location=44.314450%2C-78.326567%2C13.14,https://data-ptbo.opendata.arcgis.com/pages/terms-of-use,shp,OBJECTID,,DESIGNATIO,,,geometry,linestring,,,,,,,,
49,multi-use,,on,Peterborough,Pedestrian_Network_Line,City of Peterborough,https://data-ptbo.opendata.arcgis.com/datasets/pedestrian-network-line/explore?location=44.315800%2C-78.331500%2C13.29,https://data-ptbo.opendata.arcgis.com/pages/terms-of-use,shp,OBJECTID,STREET_NAM,LINE_TYPE,,,geometry,linestring,,,LINE_TYPE,Bicycle Lane,LINE_TYPE,Footpath__Sidewalk__Sidewalk Walkway,LINE_TYPE,Bicycle and Footpath__Trail Connecting Link__Trail Roadside
50,multi-use,,on,St Catharines,Schedule f1 parks _ trails,City of St. Catharines,https://niagaraopendata.ca/dataset/st-catharines-parks-trails,https://niagaraopendata.ca/pages/open-government-license-2-0-the-corporation-of-the-city-of-st-catharines,shp,FID,,trailtype,,,geometry,linestring,trailtype,trails existing,,,,,,
